embedding_index,title,year,authors,journal_name,venue,issn,doi,subjects,work_id,embedding_id,embedding_run,embedding_preview,abstract
10,A comparative study of fuzzy rough sets,2002,"Radzikowska, Anna Maria, Kerre, Etienne E.",Fuzzy Sets and Systems,"Fuzzy Sets Syst. 126, No. 2, 137-155 (2002).",0165-0114,10.1016/s0165-0114(01)00032-x,03E72,10.1016/s0165-0114(01)00032-x,9cf04b61a4bc7f4cb8bc10608834aa7b172a67d9,msc_clean,"[0.0183, -0.0054, -0.0169, -0.0862, -0.0920, -0.0788, 0.0940, 0.0030, ...] dimension=384","A new approach to the fuzzification of well-known Pawlak's rough sets is discussed. New sets, called \(({\mathcal I},{\mathcal T})\)-fuzzy sets, are introduced, where \({\mathcal I}\) is an implicator, i.e., a function \({\mathcal I}:[0,1]^2 \to[0,1]\) satisfying the conditions: \({\mathcal I}(1,0)=0\), \({\mathcal I}(0,0)={\mathcal I}(0,1)={\mathcal I}(1,1)=1\), and \({\mathcal T}\) is a triangular norm, i.e., an increasing, associative and commutative mapping \({\mathcal T}:[0,1]^2\to [0,1]\) that satisfies the boundary condition for all \(x\in[0,1]:{\mathcal T}(x,1)=x\). The basic properties of the new sets are given."
11,A machine-independent theory of the complexity of recursive functions,1967,"Blum, Manuel",Journal of the ACM,"J. Assoc. Comput. Mach. 14, 322-336 (1967).","0004-5411, 1557-735X",10.1145/321386.321395,"03D20, 03D15",10.1145/321386.321395,3b27cbada04b043320e4d5d6bde52c4bc11f6631,msc_clean,"[-0.0896, -0.0326, -0.0385, -0.0344, -0.0238, -0.0946, -0.0189, 0.0284, ...] dimension=384","<jats:p>The number of steps required to compute a function depends, in general, on the type of computer that is used, on the choice of computer program, and on the input-output code. Nevertheless, the results obtained in this paper are so general as to be nearly independent of these considerations.</jats:p>
          <jats:p>A function is exhibited that requires an enormous number of steps to be computed, yet has a “nearly quickest” program: Any other program for this function, no matter how ingeniously designed it may be, takes practically as many steps as this nearly quickest program.</jats:p>
          <jats:p>A different function is exhibited with the property that no matter how fast a program may be for computing this function another program exists for computing the function very much faster.</jats:p>"
12,Gödel numberings of partial recursive functions,1959,"Rogers, Hartley jun.",Journal of Symbolic Logic,"J. Symb. Log. 23, 331-341 (1959).","0022-4812, 1943-5886",10.2307/2964292,"03D20, 03F40",10.2307/2964292,7736a20fc0499f83540e1d510e5633c25c98b925,msc_clean,"[-0.0597, 0.0083, 0.0638, -0.0850, -0.0175, 0.0561, 0.0345, 0.0281, ...] dimension=384","<jats:p>In § 1 we present conceptual material concerning the notion of a Gödel numbering of the partial recursive functions. § 2 presents a theorem about these concepts. § 3 gives several applications. The material in § 1 and § 2 grew out of attempts by the author to find routine solutions to some of the problems discussed in § 3. The author wishes to acknowledge his debt in § 2 to the fruitful methods of Myhill in [M] and to thank the referee for an abbreviated and improved version of the proof for Lemma 3 in § 2.</jats:p><jats:p>In the literature of mathematical logic, “Gödel numbering” usually means an effective correspondence between integers and the well-formed formulas of some logical calculus. In recursive function theory, certain such associations between the non-negative integers and instructions for computing partial recursive functions have been fundamental. In the present paper we shall be concerned only with numberings of the latter, more special, sort. By <jats:italic>numbers</jats:italic> and <jats:italic>integers</jats:italic> we shall mean non-negative integers. Our notation is, in general, that of [K]. If <jats:italic>ϕ</jats:italic> and <jats:italic>ψ</jats:italic> are two partial functions, <jats:italic>ϕ</jats:italic> = <jats:italic>ψ</jats:italic> shall mean that (∀<jats:italic>x</jats:italic>)[<jats:italic>ϕ</jats:italic>(<jats:italic>x</jats:italic>)≃(<jats:italic>ψ</jats:italic><jats:italic>x</jats:italic>)], i.e., that <jats:italic>ϕ</jats:italic> and <jats:italic>ψ</jats:italic> are defined for the same arguments and are equal on those arguments. We consider partial recursive functions of one variable; applications of the paper to the case of several variables, or to the case of all partial recursive functions in any number of variables, can be made in the usual way using the coordinate functions <jats:italic>(a)<jats:sub>i</jats:sub></jats:italic> of [K, p. 230]. It will furthermore be observed that we consider only concepts that are i..."
13,Computing with words. Principal concepts and ideas.,2012,"Zadeh, Lotfi A.",Studies in Fuzziness and Soft Computing,"Studies in Fuzziness and Soft Computing 277. Berlin: Springer (ISBN 978-3-642-27472-5/hbk; 978-3-642-27473-2/ebook). xiii, 140~p. (2012).","1434-9922, 1860-0808",10.1007/978-3-642-27473-2,"68T37, 94D05, 68-02, 03B70",10.1007/978-3-642-27473-2,f1efd8d380eff835b54801024d0b00ed986e2aae,msc_clean,"[0.0385, 0.0509, -0.0143, -0.0008, -0.0286, -0.0110, 0.1029, 0.0667, ...] dimension=384","This book is in fact a printed revised Power Point presentation of a lecture given in USC in 2010. It presents and elaborates several key ideas of L.~A.~Zadeh from the last fifteen years, namely computing with words, restriction-based semantics, precisiated natural language, etc. The main aim is to solve problems formulated using sentences of natural language, e.g., ``Most Swedes are tall. Given this, what is the average height of Swedes?'' Natural language sentences are first translated into mathematical form. Propositions are understood as restrictions on the values of variables. Means for representing various types of propositions (possibilistic, probabilistic, combined) are elaborated. The author shows that using the formalism he introduced, a solution of the above problem leads to a certain variational problem, and the result is a restriction on the average height of Swedes. In the final part of the book, an exposition of key ideas is given in an accessible dialogical form.

Although the form of an e-book would have been probably more logical, this book offers a good opportunity to recall important ideas of Prof.~Zadeh. It is not that easy to apply them directly, but they can be really inspiring in an effort to further develop computational intelligence methods."
14,A partition calculus in set theory,1956,"Erdős, Pál, Rado, R.",Bulletin of the American Mathematical Society,"Bull. Am. Math. Soc. 62, 427-489 (1956).","1088-9485, 0273-0979",10.1090/s0002-9904-1956-10036-0,"05D10, 03E05",10.1090/s0002-9904-1956-10036-0,5adfe9c620321cf2640a2ff0dc4e545aa34cae1e,msc_clean,"[-0.1329, -0.0320, 0.0526, 0.0188, 0.0335, 0.0582, 0.0774, 0.0535, ...] dimension=384","The memoir is a natural sequel of some previous articles (Zbl 0038.15301; Zbl 0048.28203; Zbl 0051.04003; Zbl 0055.04903) initiated by \textit{F. P. Ramsey} in 1930 [Proc. Lond. Math. Soc. (2) 30, 264--286 (1930; JFM 55.0032.04)], see also \textit{D. Kurepa} [C. R. Soc. Sci. Varsovie, Cl. III 32, 61--67 (1939), reprinted in Periodicum Math.-Phys. Astron., II. Ser. 14, 205--210 (1959; Zbl 0094.03301); Acad. Sci. Slovenica, Ser. A 1953; Dissertationes IV/4, 67--92 (1953)]. For a set \(S\) and a cardinal \(r\) let \([S]^r = \{X|\) \(X \subseteq S\), \(|X| = r\}\); in particular \([S]^r = 0\), provided \(|S| < r\). The basic concept is the following relation: Given numbers \(a,k,r\) and a \(k\)-sequence \(b_\nu\) (\(\nu < k\)); the relation \(a\to [b_0,b_1,...,b_\nu,...]^r_k\) is said to hold provided for a set \(S\) of cardinality \(a\) and for every partition of the set \([S]^r\): \(S^r= \bigcup_{r<k} K_\nu\) there are a \(B\subseteq S\) and a \(\nu < k\) satisfying \(|B| = b_\nu,\) \([B]^r \subseteq K\). An analog relation is defined if \(a,b_\nu\) be order types; in this case instead of \(|B| =b\) one considers the condition \(\bar B=b\) (\(\bar B\) denoting the order type of \(B\)). If \(b_\nu\) is a constant sequence \(b_0\) the corresponding relation is denoted \(a \to (b_0)^r_k\). The paper contains 50 theorems and several problems; some known theorems are included for the completion sake. Frequently the index \(k\) is dropped too; e.g. if \(\Phi\) is an order type such that \(\Phi \leq \lambda,\) \(|\Phi| > \aleph_0\) and if \(\alpha < \omega_02\), \(\beta<\omega_0^2\), \(\gamma < \omega_1\), then \(\Phi \to (\omega_0\gamma)^2\), \(\Phi \to (\alpha,\beta)^2\) (Th. 5, and Zbl 0048.28203, Theorems 5 and 7). The main problem is this: Is the relation \(\lambda \to (\omega_02,\omega_0^2)^2\) true or false? 


One of the main results reads (Th. 43): If \(r < s\leq b_0\), \(b_1 \to (s)^r_k\) then \(\alpha \to (b_0,b_1)^2\) (this relation holds for order types as we..."
15,"Normal functors, power series and \(\lambda\)-calculus",1988,"Girard, Jean-Yves",Annals of Pure and Applied Logic,"Ann. Pure Appl. Logic 37, No. 2, 129-177 (1988).",0168-0072,10.1016/0168-0072(88)90025-5,"03F99, 03B40, 18A15, 03G30, 68N99",10.1016/0168-0072(88)90025-5,3e78e723ed2e498817be77d86e7989d46f50c3fc,msc_clean,"[-0.0318, -0.0327, -0.0696, 0.0026, -0.0375, 0.0523, 0.0406, 0.0022, ...] dimension=384","The origin of this paper was in \(\Pi^ 1_ 2\)-logic: cf. \textit{J.-Y. Girard}, Proof-theory and logical complexity, Volume I (1987; Zbl 0635.03052); its ultimate outcome is the author's ``linear logic'' that might very well revolutionize the way we look at and understand programs - and which is closely related to relevant logic. It looks at ``continuous functionals'' from a functorial - instead of a topological - point of view. These are also considered in Computer Science for models of some \(\lambda\)-calculi. Here ``continuous functionals'' mean ``functors preserving direct limits, infinite pull-backs and kernels''. They are called ``normal functors'', since they have a normal form, and are expressible (up to isomorphism) by power series. The normal functors from \(Set^ A\) to \(Set^ B\) are the objects of a category \(Set^{Int(A).B}\). The usual operations and constructs (e.g., \(\lambda\)- abstraction, the \(\lambda\)-calculus, the Gödel-system \({\mathcal T}\), probabilistic algorithms, etc.) are seen to be interpretable in this setting. The appendix A discusses qualitative domains - the simplified analogue of Scott domains, while Appendix B studies sums of types."
16,Fuzzy random variables,1986,"Puri, Madan L., Ralescu, Dan A.",Journal of Mathematical Analysis and Applications,"J. Math. Anal. Appl. 114, 409-422 (1986).",0022-247X,10.1016/0022-247x(86)90093-4,"60A99, 60D05, 28B99, 03E72",10.1016/0022-247x(86)90093-4,2f2f90251fa3f93a2b5c3871378ccc5b1412d6d3,msc_clean,"[-0.0479, -0.0240, 0.0312, -0.0765, -0.0285, 0.0475, 0.1513, 0.0050, ...] dimension=384","In a previous paper [ibid. 91, 552-558 (1983; Zbl 0528.54009)] the authors defined differentials for a fuzzy valued function. In this clearly thought and well-written paper they define an integral, or an expected value, of a fuzzy valued random variable. The definition is based on the integral of a set-valued function. The authors give an existence theorem for the expected value and derive the Lebesgue dominated convergence theorem for fuzzy random variables. 


A different kind of expected value is defined by \textit{H. Kwakernaak} [Inf. Sci. 15, 1-29 (1978; Zbl 0438.60004)] and \textit{W. E. Stein} and \textit{K. Talati} [Fuzzy Sets Syst. 6, 271-283 (1981; Zbl 0467.60005)]."
17,Rough sets,1982,"Pawlak, Zdzisław",International Journal of Computer &amp; Information Sciences,"Int. J. Comput. Inform. Sci. 11, No. 5, 341-356 (1982).","1573-7640, 0091-7036",10.1007/bf01001956,"68T05, 68T10, 03E99, 68T37, 62H30, 03B52",10.1007/bf01001956,a162dfdb48b08979498689b4beb4c523768be711,msc_clean,"[0.0335, 0.0198, 0.0453, -0.0886, -0.0613, -0.0544, 0.1020, 0.0367, ...] dimension=384","Summary: We investigate in this paper approximate operations on sets, approximate equality of sets, and approximate inclusion of sets. The presented approach may be considered as an alternative to fuzzy set theory and tolerance theory. Some applications are outlined."
18,Soft set theory -- first results,1999,"Molodtsov, D.",Computers &amp; Mathematics with Applications,"Comput. Math. Appl. 37, No. 4-5, 19-31 (1999).",0898-1221,10.1016/s0898-1221(99)00056-5,"03E70, 03E75, 26E50, 28E10, 03E72, 91A44",10.1016/s0898-1221(99)00056-5,89986f59e1973069fa7ec9dec0d54651e39decb6,msc_clean,"[-0.0063, -0.0575, -0.0139, -0.0229, -0.0333, 0.0029, 0.0989, 0.0869, ...] dimension=384","The paper briefly discusses the properties of three of the existing models of uncertainty, namely probability, fuzziness and interval mathematics, and suggests another one called soft sets. Soft sets are defined as parametrized classes of subsets of a universe. Operations with soft sets are defined and discussed. The main part of the paper is devoted to the soft set theoretical approaches to regulation, non-cooperative games and differential calculus."
19,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,2002,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,History and Philosophy of Logic,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"0144-5340, 1464-5149",10.1080/0144534021000036683,"03-03, 01A75",10.1080/0144534021000036683,b590812f667d447719da4c6f454eedc064bd108b,msc_clean,"[-0.0915, 0.1039, -0.0635, -0.0264, 0.0171, -0.0632, 0.0262, 0.0689, ...] dimension=384","The paper under review is a new English translation of Tarski's classic paper ``O pojȩciu wynikania logicznego'' [Przegląd Filozoficzny 39, 58-68 (1936; JFM 62.1065.17)]. The basis for the translation was the revised Polish version of the paper and not the German translation as was the case with the first English translation). In footnotes an exact translation of all respects in which the German version differs from the Polish are provided. Some comments and introductory remarks are added as well (in particular remarks on the historical and theoretical importance of Tarski's paper, remarks on Tarski's language)."
20,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,2005,"zbMATH Open Web Interface contents unavailable due to conflicting licenses., zbMATH Open Web Interface contents unavailable due to conflicting licenses., zbMATH Open Web Interface contents unavailable due to conflicting licenses.",International Journal of General Systems,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"0308-1079, 1563-5104",10.1080/03081070512331318329,03E72,10.1080/03081070512331318329,489c8fe0cad148807f56e8f0ee527a40c5f66b69,msc_clean,"[-0.0052, -0.0036, 0.0568, -0.0310, -0.0112, -0.0395, 0.0950, 0.0083, ...] dimension=384","Summary: This paper extends Pawlak's rough set onto the basis of a fuzzy partition of the universe of discourse. Some basic properties of partition-based fuzzy approximation operators are examined. To measure uncertainty in generalized fuzzy rough sets, a new notion of entropy of a fuzzy set is introduced. The notion is demonstrated to be adequate for measuring the fuzziness of a fuzzy event. The entropy of a fuzzy partition and conditional entropy are also proposed. These kinds of entropy satisfy some basic properties similar to those of Shannon's entropy. It is proved that the measure of fuzziness of a partition-based fuzzy rough set, FR(A), is equal to zero if and only if the set A is crisp and definable."
21,Proof verification and the hardness of approximation problems.,1998,"Arora, Sanjeev, Lund, Carsten, Motwani, Rajeev, Sudan, Madhu, Szegedy, Mario",Journal of the ACM,"J. ACM 45, No. 3, 501-555 (1998).","0004-5411, 1557-735X",10.1145/278298.278306,"68Q15, 03B35, 03D15, 68Q25",10.1145/278298.278306,1221a61c9f53fb2af2d6233854d6c747d4f70c38,msc_clean,"[-0.0704, 0.0308, 0.0305, -0.0371, 0.0899, -0.0434, 0.1225, 0.0254, ...] dimension=384","Summary: We show that every language in \(\mathcal{NP}\) has a probabilistic verifier that checks membership proofs for it using logarithmic number of random bits and by examining a constant number of bits in the proof. If a string is in the language, then there exists a proof such that the verifier accepts with probability 1 (i.e., for every choice of its random string). For strings not in the language, the verifier rejects every provided ``proof'' with probability at least 1/2. Our result builds upon and improves a recent result of \textit{S. Arora} and \textit{S. Safra} [J. ACM 45, No. 1, 70--122 (1998; Zbl 0903.68076)] whose verifiers examine a nonconstant number of bits in the proof (though this number is a very slowly growing function of the input length).

As a consequence we prove that no MAX SNP-hard problem has a polynomial time approximation scheme, unless \(\mathcal{NP}=\mathcal P\). The class MAX SNP was defined by \textit{C. H. Papadimitriou} and \textit{M. Yannakakis} [J. Comput. Syst. Sci. 43, No. 3, 425--440 (1991; Zbl 0765.68036)] and hard problems for this class include vertex cover, maximum satisfiability, maximum cut, metric TSP, Steiner trees and shortest superstring. We also improve upon the clique hardness results of \textit{U. Feige, S. Goldwasser, L. Lovász, S. Safra} and \textit{M. Szegedy} [J. ACM 43, No. 2, 268--292 (1996; Zbl 0882.68129)], and Arora and Safra [loc. cit.] and shows that there exists a positive \(\varepsilon\) such that approximating the maximum clique size in an \(N_\varepsilon\)-vertex graph to within a factor of \(N\) is \(\mathcal{NP}\)-hard."
22,Interpretation of AF \(C^*\)-algebras in Łukasiewicz sentential calculus,1986,"Mundici, Daniele",Journal of Functional Analysis,"J. Funct. Anal. 65, 15-63 (1986).",0022-1236,10.1016/0022-1236(86)90015-7,"46L05, 46M20, 03B50, 03G20, 06D30",10.1016/0022-1236(86)90015-7,d8b3c7ff62918f037a3e9303028defaaa6607a0c,msc_clean,"[-0.0992, -0.0023, -0.0203, 0.0479, -0.0849, 0.0913, 0.0897, -0.0493, ...] dimension=384","It is well known that AF \(C^*\)-algebras can be classified completely by the corresponding dimension groups, i.e. the \(K\)-groups with an order unit. Interpreting the \(K\)-group \(K_ 0(A)\) of an AF \(C^*\)-algebra \(A\) as a set of sequences in Łukasiewicz logic, the author gives a criterion for the simplicity of \(A\) in terms of recursion-theoretic properties of \(K_ 0(A)\): If \(A\) is Gödel complete in the sense that the set of consequence of a theory ``written in this language'' is recursively enumerable but not recursive, then \(A\) cannot be simple. In the case of the CAR algebra the corresponding set of sentences is explicitly worked out."
23,On the combinatorial problems which I would most like to see solved,1981,"Erdős, Paul",Combinatorica,"Combinatorica 1, 25-42 (1981).","1439-6912, 0209-9683",10.1007/bf02579174,"05-02, 05Cxx, 05Bxx, 11B75, 03E05, 00A07",10.1007/bf02579174,017f0fe459dcefea711c62233cd208c09bf4d56a,msc_clean,"[-0.0802, -0.0193, 0.0177, -0.0133, -0.0435, -0.0025, 0.0593, -0.0085, ...] dimension=384","I was asked to write a paper about the major unsolved problems in combinatorial mathematics. After some thought it seemed better to modify the title to a less pretentious one. Combinatorial mathematics has grown enormously and a genuine survey would have to include not only topics where I have no real competance but also topics about which I never seriously thought, E.G. algorithmic combinatorics, coding theory and matroid theory."
24,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,1986,"Alfred Tarski, John Corcoran",History and Philosophy of Logic,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"0144-5340, 1464-5149",10.1080/01445348608837096,"03A05, 03-03",10.1080/01445348608837096,d371562ea5d3e3b64a2ea41a8026972fd5833ac5,msc_clean,"[-0.0443, 0.0246, -0.0342, -0.0040, -0.0364, -0.0334, 0.0334, 0.0391, ...] dimension=384","This paper is based on notes taken by the editor from a lecture of Tarski at Buffalo in 1973 and a typescript made for Tarski from a recording of a lecture at Bedford College, University of London, in 1966. In the spirit of Klein's Erlanger Program, logical notions are defined as notions invariant under all transformations of the universe of discourse onto itself. It is then shown that logic is logic of numerical relations but that mathematics, built on set theory, can be generated either as part of logics by the procedure of the Pricipia or outside of logic based on the nonlogical relation of membership."
25,Towards a general theory of action and time,1984,"Allen, James F.",Artificial Intelligence,"Artif. Intell. 23, 123-154 (1984).",0004-3702,10.1016/0004-3702(84)90008-0,"68Q65, 03B45, 68T20, 68Q55",10.1016/0004-3702(84)90008-0,d665e7d24ee8d0da5e2f37280e118152ba6e93f9,msc_clean,"[-0.0135, -0.0037, 0.0742, -0.0286, 0.0222, 0.0354, 0.0738, 0.0307, ...] dimension=384","The author proposes as a general framework a many-sorted predicate calculus with time-intervals, properties and objects as basic sorts with sorts for locations, occurrences, events and processes as subsorts of occurrences, agents, actions, plans,... added later on. The language contains predicate symbols intended to stand for the intuitive relations ''property p holds at time t'', ''event e occurs at time t'', ''process e is occurring at time t'' and many more as well as function symbols taking e.g. two events into a composite event or taking an object o and two locations \(L_ 1\), \(L_ 2\) into the event of changing the position of o from \(L_ 1\) to \(L_ 2\). The main part of the paper consists of the discussion of possible postulates among these primitives in the areas of natural language processing and of planning."
26,Probabilistic logic,1986,"Nilsson, Nils J.",Artificial Intelligence,"Artif. Intell. 28, 71-87 (1986).",0004-3702,10.1016/0004-3702(86)90031-7,03B48,10.1016/0004-3702(86)90031-7,8a144f2f9129ac8433f573320bab41cebafb8750,msc_clean,"[0.0006, -0.0010, 0.0067, -0.0561, -0.0531, -0.0430, 0.0824, 0.0353, ...] dimension=384","Als Verallgemeinerung der klassischen Logik wird eine Logik mit Wahrheitswerten zwischen 0 und 1 vorgestellt. Techniken zur Berechnung der Wahrscheinlichkeit von Folgerungen und bedingten Wahrscheinlichkeiten, u.a. eine approximative Methode, werden angegeben."
27,Recursive functionals and quantifiers of finite types revisited. V,1991,"Kleene, S. C.",Transactions of the American Mathematical Society,"Trans. Am. Math. Soc. 325, No. 2, 593-630 (1991).",0002-9947,10.2307/2001641,03D65,10.2307/2001641,09cf08993eae4aac1662c26f8df8df1983bae76a,msc_clean,"[-0.0731, -0.0377, 0.1049, -0.0253, -0.0484, 0.0282, 0.1123, 0.0235, ...] dimension=384","This paper is the last in a series of five where the author gives a new foundation for recursion in higher type functionals. The general idea of the program is described in the review of Part IV [Recursion Theory, Proc. AMS-ASL Summer Inst., Ithaka/N.Y. 1982, Proc. Symp. Pure Math. 42, 119-138 (1985; Zbl 0608.03015)]. It is essential to read a considerable part of paper 4 before reading this paper.


This paper consists of \(\S\S\)14 through 19. In \(\S\)14 the author develops his notion of computation further, explaining how the computations are run. In \(\S\)15 he proves some structural results about the computations and in \(\S\)16 he shows that the computations are monotone with respect to the input. In \(\S\)17 he shows that the computable functionals will be in the hierarchy of monotone, partial functionals with oracles. In \(\S\)18 he shows that equivalent algorithms, or j-expressions, can replace each other. Finally in \(\S\)19 he compares ordinary typed elements with typed elements with oracles. 


Through his five papers the author has made a remarkable effort to create a new foundation for higher type recursion theory. The idea of a computation being organised through a unique well founded tree of subcomputations does not work for computations relative to partial, monotone functionals. Equipping the functionals with oracles makes the construction more natural. The hard point is to ensure that the choice of oracle is inessential. This is taken care of by Kleene, and the foundation is sound."
28,Foundations of mathematics for the working mathematician,1949,"Bourbaki, N.",Journal of Symbolic Logic,"J. Symb. Log. 14, 1-8 (1949).","0022-4812, 1943-5886",10.2307/2268971,03A05,10.2307/2268971,533230dfdb544bd2ccd8a1b951c61d224b7ede26,msc_clean,"[0.0262, 0.0009, -0.0023, -0.0041, -0.0027, 0.0180, 0.0529, 0.0810, ...] dimension=384","<jats:p>I am very grateful to the Association for Symbolic Logic for inviting me to give this address—an honor which I am conscious of having done very little to deserve. My efforts during the last fifteen years (seconded by those of a number of younger collaborators, whose devoted help has meant more to me than I can adequately express) have been directed wholly towards a unified exposition of all the basic branches of mathematics, resting on as solid foundations as I could hope to provide. I have been working on this as a practical mathematician; in matters pertaining to pure logic, I must confess to being self-taught, and laboring under all the handicaps that this implies; and if, after no little self-questioning, I am speaking here today, I am doing so chiefly in order to enjoy the benefit of your professional advice and criticism, by which I hope to correct my views before I venture into print with them.</jats:p>"
29,Ein Satz über Untermengen einer endlichen Menge.,1928,"Sperner, E.",Mathematische Zeitschrift,"Math. Z. 27, 544-548 (1928).","1432-1823, 0025-5874",10.1007/bf01171114,03E99,10.1007/bf01171114,0831396c7b4102b0420fd930897b8367eca2021d,msc_clean,"[-0.0368, 0.0042, 0.0050, -0.0688, -0.0476, -0.0041, 0.0822, -0.0352, ...] dimension=384","Verf. beschäftigt sich mit den Untermengen einer endlichen Menge \(\mathfrak M\) von \(n\) Elementen. Von zwei Untermengen \(\mathfrak A\) und \(\mathfrak B\) der Menge \(\mathfrak M\) heißt \(\mathfrak A\) Teilmenge von \(\mathfrak B\) und \(\mathfrak B\) Obermenge von \(\mathfrak A\), wenn alle Elemente von \(\mathfrak A\) in \(\mathfrak B\) vorkommen. Ein System \(\Sigma\) von Untermengen heißt ausgezeichnet, wenn keine der in \(\Sigma\) vorkommenden Untermengen Teilmenge einer anderen solchen ist. Die Anzahl der Elemente einer Untermenge von \(\mathfrak M\) nennt Verf. ihre Ordnung; die Anzahl der in einem System von Untermengen von \(\mathfrak M\) enthaltenen Untermengen heißt sein Grad.


Verf. beweist den folgenden Satz: Der Grad eines ausgezeichneten Systems \(\Sigma\) von Untermengen der gegebenen Menge \(\mathfrak M\) ist stets \(\leq \binom{n}{{n\brack 2}}\); das Gleichheitszeichen gilt bei geradem \(n\) dann und nur dann, wenn \(\Sigma\) aus sämtlichen Untermengen der Ordnung \(\frac n2\) besteht, bei ungeradem \(n\) dann und nur dann, wenn \(\Sigma\) aus sämtlichen Untermengen der Ordnung \(\frac{n+1}{2}\) oder aus sämtlichen Untermengen der Ordnung besteht.

 
Der Beweis operiert mit dem folgenden Hilfssatz: \(m\) voneinander verschiedene Untermengen \(k\)-ter Ordnung der Menge \(\mathfrak M\) besitzen wenigstens \(m+1\) voneinander verschiedene Teilmengen der Ordnung \(k-1\), wenn \(k>\frac{n+1}{2}\) ist. (III 2.)"
30,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,2000,"zbMATH Open Web Interface contents unavailable due to conflicting licenses., zbMATH Open Web Interface contents unavailable due to conflicting licenses., zbMATH Open Web Interface contents unavailable due to conflicting licenses.",International Journal of General Systems,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"0308-1079, 1563-5104",10.1080/03081070008960961,"03E72, 54A40",10.1080/03081070008960961,9b577a1c0f32730f476ae2fc8d6ae3d7c4f02dbe,msc_clean,"[-0.0138, 0.0068, 0.0213, -0.0369, -0.0260, -0.0520, 0.0482, 0.0239, ...] dimension=384",Summary: The upper and lower approximations of a fuzzy subset with respect to an indistinguishability operator are studied. Their relations with fuzzy rough sets are also investigated.
31,Is there a need for fuzzy logic?,2008,"Zadeh, Lotfi A.",Information Sciences,"Inf. Sci. 178, No. 13, 2751-2779 (2008).",0020-0255,10.1016/j.ins.2008.02.012,"68T37, 03B52, 68T50, 93C42, 94D05",10.1016/j.ins.2008.02.012,4bd74fd4b334029350c78d261627723d597674e9,msc_clean,"[0.0046, -0.0041, 0.0478, -0.0792, -0.0492, 0.0263, 0.1075, 0.0578, ...] dimension=384","This paper's first part surveys the core ideas which the author has developed to build up what he calls fuzzy logic, and what should clearly be distinguished from mathematical fuzzy logics: it is a bunch of partly heuristic methods to transform natural language based, and hence often vague, information into a computer-accessible form. Core ideas are the graduation, the granulation, and certain forms of specification of information. 

The author gives here in a unified form the most important ideas for the development of this field which he offered mainly during the last decade, building upon ideas which first had been presented in the 1970s.

In a second part, well realized as well as potential applications are sketched, with main focus on various forms of natural language processing. It is those AI-related applications which seem to call for a more mathematical treatment of those ideas."
